,method,error_test,subproblem,subproblem_id,dataset_id,num_boost_round
253,LASSO (Saabas),5.588840484619141,regression,2,0,1
254,LASSO (Shap),5.4452619552612305,regression,2,0,1
255,Vanilla,4.995772838592529,regression,2,0,2
256,LASSO (Saabas),5.978003025054932,regression,2,0,2
257,LASSO (Shap),5.7944769859313965,regression,2,0,2
258,Vanilla,5.065565586090088,regression,2,0,4
259,LASSO (Saabas),6.016759395599365,regression,2,0,4
260,LASSO (Shap),5.9227519035339355,regression,2,0,4
261,Vanilla,5.285327911376953,regression,2,0,8
262,LASSO (Saabas),6.024949550628662,regression,2,0,8
263,LASSO (Shap),6.1645426750183105,regression,2,0,8
264,Vanilla,5.571654796600342,regression,2,0,16
265,LASSO (Saabas),6.276444911956787,regression,2,0,16
266,LASSO (Shap),6.861719608306885,regression,2,0,16
267,Vanilla,5.76089334487915,regression,2,0,32
268,LASSO (Saabas),6.394585132598877,regression,2,0,32
269,LASSO (Shap),7.245720863342285,regression,2,0,32
270,Vanilla,5.844518661499023,regression,2,0,64
271,LASSO (Saabas),6.448291778564453,regression,2,0,64
272,LASSO (Shap),7.316722869873047,regression,2,0,64
273,Vanilla,4.600617408752441,regression,2,1,1
274,LASSO (Saabas),4.8176798820495605,regression,2,1,1
275,LASSO (Shap),4.7696661949157715,regression,2,1,1
276,Vanilla,4.690579891204834,regression,2,1,2
277,LASSO (Saabas),4.9847412109375,regression,2,1,2
278,LASSO (Shap),4.949214458465576,regression,2,1,2
279,Vanilla,4.899990081787109,regression,2,1,4
280,LASSO (Saabas),5.412849426269531,regression,2,1,4
281,LASSO (Shap),5.482544898986816,regression,2,1,4
282,Vanilla,5.071816444396973,regression,2,1,8
283,LASSO (Saabas),5.700107574462891,regression,2,1,8
284,LASSO (Shap),5.735509395599365,regression,2,1,8
285,Vanilla,5.347514629364014,regression,2,1,16
286,LASSO (Saabas),6.187193870544434,regression,2,1,16
287,LASSO (Shap),6.107712745666504,regression,2,1,16
288,Vanilla,5.477153301239014,regression,2,1,32
289,LASSO (Saabas),6.20734977722168,regression,2,1,32
290,LASSO (Shap),6.129395484924316,regression,2,1,32
291,Vanilla,5.49951696395874,regression,2,1,64
292,LASSO (Saabas),6.261657238006592,regression,2,1,64
293,LASSO (Shap),6.204605579376221,regression,2,1,64
294,Vanilla,6.621162414550781,regression,2,2,1
295,LASSO (Saabas),12.309799194335938,regression,2,2,1
296,LASSO (Shap),7.494349479675293,regression,2,2,1
297,Vanilla,6.69564962387085,regression,2,2,2
298,LASSO (Saabas),8.012887954711914,regression,2,2,2
299,LASSO (Shap),7.915226459503174,regression,2,2,2
300,Vanilla,7.076207160949707,regression,2,2,4
301,LASSO (Saabas),7.947592735290527,regression,2,2,4
302,LASSO (Shap),8.030028343200684,regression,2,2,4
303,Vanilla,7.2612128257751465,regression,2,2,8
304,LASSO (Saabas),8.11965560913086,regression,2,2,8
305,LASSO (Shap),8.20667552947998,regression,2,2,8
306,Vanilla,7.643721580505371,regression,2,2,16
307,LASSO (Saabas),8.2162504196167,regression,2,2,16
308,LASSO (Shap),8.198965072631836,regression,2,2,16
309,Vanilla,7.925969123840332,regression,2,2,32
310,LASSO (Saabas),8.427362442016602,regression,2,2,32
311,LASSO (Shap),8.412959098815918,regression,2,2,32
312,Vanilla,7.939079761505127,regression,2,2,64
313,LASSO (Saabas),8.437617301940918,regression,2,2,64
314,LASSO (Shap),8.43966293334961,regression,2,2,64
315,Vanilla,8.585344314575195,regression,2,3,1
316,LASSO (Saabas),9.175699234008789,regression,2,3,1
317,LASSO (Shap),9.819836616516113,regression,2,3,1
318,Vanilla,8.780437469482422,regression,2,3,2
319,LASSO (Saabas),10.311627388000488,regression,2,3,2
320,LASSO (Shap),9.900154113769531,regression,2,3,2
321,Vanilla,8.84480094909668,regression,2,3,4
322,LASSO (Saabas),10.063261985778809,regression,2,3,4
323,LASSO (Shap),9.86658000946045,regression,2,3,4
324,Vanilla,9.030694961547852,regression,2,3,8
325,LASSO (Saabas),10.131103515625,regression,2,3,8
326,LASSO (Shap),10.550745964050293,regression,2,3,8
327,Vanilla,9.141547203063965,regression,2,3,16
328,LASSO (Saabas),10.169981002807617,regression,2,3,16
329,LASSO (Shap),11.022932052612305,regression,2,3,16
330,Vanilla,9.305798530578613,regression,2,3,32
331,LASSO (Saabas),10.270292282104492,regression,2,3,32
332,LASSO (Shap),11.145166397094727,regression,2,3,32
333,Vanilla,9.331083297729492,regression,2,3,64
334,LASSO (Saabas),10.372176170349121,regression,2,3,64
335,LASSO (Shap),11.255672454833984,regression,2,3,64
