,method,auc_noisy,elapsed,subproblem,subproblem_id,dataset_id,num_boost_round
133,TotalGain (Shap),0.9653333333333334,1.669625997543335,classification,1,3,32
134,Permutation (perm_round = 5),0.03466666666666667,3.6127572059631348,classification,1,3,32
135,TotalGain-oob (Saabas),0.6906666666666667,2.3062920570373535,classification,1,3,64
136,TotalGain-oob (Shap),0.7306666666666667,2.2709977626800537,classification,1,3,64
137,TotalGain,0.8026666666666666,8.381123542785645,classification,1,3,64
138,TotalGain (Shap),0.944,3.0009570121765137,classification,1,3,64
139,Permutation (perm_round = 5),0.021333333333333336,4.462751626968384,classification,1,3,64
140,TotalGain-oob (Saabas),0.5666666666666667,0.26816320419311523,classification,2,0,1
141,TotalGain-oob (Shap),0.5,0.147003173828125,classification,2,0,1
142,TotalGain,0.56,0.1775660514831543,classification,2,0,1
143,TotalGain (Shap),0.5377777777777778,0.12569475173950195,classification,2,0,1
144,Permutation (perm_round = 5),0.47777777777777775,1.7447302341461182,classification,2,0,1
145,TotalGain-oob (Saabas),0.46222222222222226,0.30707645416259766,classification,2,0,2
146,TotalGain-oob (Shap),0.5777777777777778,0.17540931701660156,classification,2,0,2
147,TotalGain,0.47111111111111115,0.21976518630981445,classification,2,0,2
148,TotalGain (Shap),0.47111111111111115,0.14574551582336426,classification,2,0,2
149,Permutation (perm_round = 5),0.6177777777777778,5.378333568572998,classification,2,0,2
150,TotalGain-oob (Saabas),0.45333333333333337,1.0831363201141357,classification,2,0,4
151,TotalGain-oob (Shap),0.5377777777777778,0.19534635543823242,classification,2,0,4
152,TotalGain,0.4444444444444445,0.48956871032714844,classification,2,0,4
153,TotalGain (Shap),0.49333333333333335,0.10465002059936523,classification,2,0,4
154,Permutation (perm_round = 5),0.6088888888888889,1.412130355834961,classification,2,0,4
155,TotalGain-oob (Saabas),0.5355555555555556,0.32916855812072754,classification,2,0,8
156,TotalGain-oob (Shap),0.6466666666666667,1.4392666816711426,classification,2,0,8
157,TotalGain,0.4488888888888889,0.6542665958404541,classification,2,0,8
158,TotalGain (Shap),0.5511111111111112,0.1974635124206543,classification,2,0,8
159,Permutation (perm_round = 5),0.5800000000000001,1.4800307750701904,classification,2,0,8
160,TotalGain-oob (Saabas),0.6355555555555557,0.39922666549682617,classification,2,0,16
161,TotalGain-oob (Shap),0.6311111111111112,0.5268571376800537,classification,2,0,16
162,TotalGain,0.4444444444444445,2.124577283859253,classification,2,0,16
163,TotalGain (Shap),0.5155555555555555,0.37425971031188965,classification,2,0,16
164,Permutation (perm_round = 5),0.5644444444444444,1.6120619773864746,classification,2,0,16
